"X","Nom.cité.dans.le.texte","Nom.français.cité.dans.le.texte","Nom.valide","INTITULE","ARRETE","ARTICLE","CD_NOM"
NA,"Asplenium seelosti Leybold.","Doradille de Seelos","Asplenium seelosii subsp. glabrum (Litard. & Maire) Rothm., 1937","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131844
NA,"Asplenium seelosti Leybold.","Doradille de Seelos","Asplenium seelosii Leyb., 1855","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84525
NA,"Aster amellus L.","Marguerite de la Saint-Michel","Aster amellus L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84626
NA,"Aster pyrenaeus Desf. ex DC.","Aster des Pyrénées","Aster pyrenaeus Desf. ex DC., 1805","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84699
NA,"Astragalus alopecuroides L.","Queue de renard d'Espagne","Astragalus alopecuroides L., 1753 subsp. alopecuroides","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",131900
NA,"Astragalus alopecuroides L.","Queue de renard d'Espagne","Astragalus alopecuroides L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84790
NA,"Astragalus bayonnensis Loisel.","Astragale de Bayonne","Astragalus baionensis Loisel., 1807","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84802
NA,"Astragalus centralpinus Br.-Bl.","Queue de renard des Alpes","Astragalus alopecurus Pall., 1800","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84791
NA,"Astragalus leontinus Wulfen.","Astragale de Lenzbourg","Astragalus leontinus Wulfen, 1781","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84859
NA,"Astragalus massiliensis (Miller) Lamarck.","Astragale de Marseille","Astragalus tragacantha L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",84910
NA,"Atractylis cancellata L.","Atractyle grillagé","Atractylis cancellata L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",85020
NA,"Atriplex longipes Drejer","Arroche à long pédoncule","Atriplex longipes Drejer, 1838","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",85084
NA,"Bartsia spicata Ramond.","Bartsie en épi","Nothobartsia spicata (Ramond) Bolliger & Molau, 1992","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",109703
NA,"Bellevalia romana (L.) Reichenb.","Bellevalia de Rome","Bellevalia romana (L.) Sweet, 1826","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",945634
NA,"Bellevalia trifoliata (Ten.) Kunth","Jacinthe à trois feuilles","Bellevalia trifoliata (Ten.) Kunth, 1843","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",85715
NA,"Berardia subacaulis Vill.","Chardon de Bérard, Berarda","Berardia lanuginosa (Lam.) Fiori, 1904","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",85759
NA,"Betula nana L.","Bouleau nain","Betula nana L., 1753","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",85897
NA,"Biscutella neustriaca Bonnet","Lunetière de Neustrie","Biscutella laevigata subsp. varia (Dumort.) Rouy & Foucaud, 1895","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",132159
NA,"Borderea pyrenaica Miegeville.","Dioscorée des Pyrénées","Dioscorea pyrenaica Bubani & Bordère ex Gren., 1866","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",95046
NA,"Botrychium lanceolatum Angstrom.","Botrychium à feuilles lancéolées","Botrychium lanceolatum (S.G.Gmel.) Ångstr., 1854 subsp. lanceolatum","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",959877
NA,"Botrychium lanceolatum Angstrom.","Botrychium à feuilles lancéolées","Botrychium lanceolatum (S.G.Gmel.) Ångstr., 1854","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",86182
NA,"Botrychium matricariaefolium A. Braun ex Koch.","Botrychium à feuilles de Matricaire","Botrychium matricariifolium (Retz.) W.D.J.Koch, 1845","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",86186
NA,"Botrychium multifidum Ruprecht.","Botrychium à feuilles multifides","Sceptridium multifidum (S.G.Gmel.) M.Nishida, 1958","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",121461
NA,"Botrychium simplex E. Hitche.","Petit Botrychium","Botrychium simplex E.Hitchc., 1823","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",86199
NA,"Brassica insularis Moris.","Choux de Corse","Brassica insularis Moris, 1837","Liste des espèces végétales protégées sur l'ensemble du territoire français métropolitain","Arrêté interministériel du 20 janvier 1982 relatif à la liste des espèces végétales protégées sur l'ensemble du territoire, modifié par les arrêtés du 15 septembre 1982 (JORF du 14 décembre 1982, p. 11147), du 31 août 1995 (JORF du 17 octobre 1995, pp. 15099-15101), du 14 décembre 2006 (JORF du 24 février 2007, p. 62) et du 23 mai 2013 (JORF du 7 juin 2013, texte 24)","Article 1",86380
